contents,star
"The game was boring after playing for half an hour. The color choice and graphics was eye-straining and made me dizzy. It had no instructions on how to play the game. When it gets fast, sometimes it doesn't register when I click it. But if we're talking purpose I would give it 5 stars as it served it purpose to be a ""One Star App: Lowest Rated App"".",1
"In general, this app's design is missing several elements that users typically seek. Furthermore, after a game session, the display of scores can be confusing for many users, and the overall design is not visually appealing. As a suggestion for improvement, player lives could be reduced when a player fails to click the correct colored box. - Justine Corpuz BSCS221B",1
"Definitely deserves a 1-star rating. I applaud the creators 👏👏👏 They did an extremely good job of making this game suck. The colors of the tiles are very eye-straining. The sound they make is also very annoying. There are also no instructions, so it took me a couple of tries to understand how the game is played. I also like (hate) that you don't die when you miss a tile; it took away the extra challenge that could have made this game last a day on one's phone.",1
"FressyVelasco-BSIS221A The game was fun when you were inactive, but after a while, it became uninteresting to play. I recommend that you work on the level design so that you may add a twist to the game that will unexpectedly test the player. This will help the player stay focused and enjoy the game because everyone enjoys an unexpectedly difficult challenge that will excite them. Additionally, enhance the visual appeal to make it more pleasing to the player's eyes.👍",3
"The game would be better if there has something to do with it. As the state of the game right now, its just too repetitive and does not end even if you do not do anything. I also wish for you to add more quality art and some better music too. I would also recommend having the background of the menu be something else that pairs with the game.",1
"The game is quite interesting to discover, but still lacks of clarity in terms of how it is to be played. That is the most crucial factor in a player's interest and the game seems to have failed to do it. The interface also lacks a bit of technology in terms of its design and appearance. The game can reach its maximum potential if these factors are considered. -Matthew Macasojot, BSIS221A",2
"The gameplay is mediocre but not terrible, it gets harder as you play it longer, but it is also quite forgiving. The moving boxes occasionally record the tap twice, which is a small issue given that you may skip the tapping. Because it's what the developers desire, I'm giving it one star. -Lorica, Zenryc BSIS221A",1
"This is no doubt one of the worst apps made on purpose. The menu backgrounds is a random blured image that has nothing to do whatsoever with the game it has. The start menu is so plain as it only had 2 buttons, the start and mute button. When it comes to the gameplay it was merely challenging as letting the color blocks through didn't consume lives. After playing the game you get booted back to the menu and the start button now says ""Play again loser"" which taunts users to rate the app 1 star.",1
"it was a good game it was a challenging pat because your the one who will discover how the game works and it is intriguing and unique the title alone generates curiosity. My suggestion only is that change other color because it was too bright and add music because music is shaping the overall player experience, evoking emotions, enhancing storytelling, and creating a sense of immersion in the game world.",5
"There are no useful visual cues that can tell me what am I getting into. The title, logo, and menu of the app do not tell me what is the game all about. Especially if you go into this blind without reading reviews or seeing the app preview (like what I did). The menu does not even tell you to play the game at all. After playing continuously for about 10 minutes, my eyes get strained very easily not because of the faster pacing but of the high color contrast between blocks and the white bg.",1
"At first, the game was quite interesting as it makes your brain work and think what color corresponds correctly to the name written on the block. After a while, it gives a heavy strain to the eyes and makes you feel dizzy. One star is very much appropriate for this app, not only were the graphics and design were bad, there is also no goal that made replaying the game worth it after playing it once. - Macawile, BSCS221A",1
"The title of the game speaks for itself, from the menu/interface being sloppy to the repetitive and bland gameplay. The only positive factor that a player can gain in playing this game is that it can help them improve their focus and eye coordination. Other than that, the game is boring and lacks elements and details that is essential in creating a good game. But still, the gameplay was intended to achieve the purpose to create the lowest rated application. Marc Luis Macabuhay, BSIS221A",2
"The game was very boring and plain it's like I'm playing just to waste my time. I think it needs a lot of improvement like adding some gameplay, background music and visual effecfs. Overall the games was good at first but after that it's really boring. I hope the dev will improve their game so people can appreciate their work.",1
"The first thing I would do is enhance the core gameplay mechanics to make them more engaging and challenging. For instance, I could introduce combo systems that reward players for tapping colors and matching tags quickly in succession. next he User interface: I would work on refining the user interface to ensure it is intuitive and user-friendly. For example, I could implement a clear and visually appealing color. BSIS - 221A FIEDALAN MARK JOVEN P.",5
"I'll rate this 1/5. The game is not good and not a user-friendly. It has unresposive controls and double-tapping. This game is chaotic and mess. It got my eyes hurt because of the poor visual design and color, lacks as enjoyable start and there is no clear instruction or mechanics how to play this game.The developer should improve this a lot.",1
"It would be more challenging if missing the right block takes one life, occasionally changing the background color and changing the rhythm of the background music/sound effects will increase the tension of the game. PS. I only rated 1star because the game description said rate only 1star.",1
"The game is simple but it bores me too fast. A break would've been nice to keep the player entertained while being challenge as the game gets harder and harder. It would be nice if the game introduce itself first, I had no idea what to do the first time I played it. Overall, gameplay is good yet needs a tweaking. Could've add more graphics to make it more appealing. -Gabriel Elepaño, BSCS221B",1
"In my book, this game's a snooze. The graphics? Meh, they're like someone slapped together pics and words without much thought. And the audio? Don't get me started; it's just a jumble of random sounds. Worst part? No tutorial. I spent the first few minutes clueless, had to read the Play Store description, and even that left me puzzled. This game's a head-scratcher, for sure. -Espiritu BSIS221A",1
"After playing the game, i came into a conclusion that its just nothing else to do in the game just a plain simple color game with no depth, i would like some powerups in the game or some sort of next level but there is none. all in all it's boring and made my head hurt by the colors in the game",1
"I think this game is okay, but also it needs a lot of improvements in terms of entertainment because it has no twist and other quest unlike the other games. But for me this is a good game and when I play this game, I happily enjoyed the game and at the same time I had difficulties because the longer you play the game, the harder it gets. -(Raven L Atienza, BSIS 221A)",3
I rate it as 1 star for the game itself. While 2/5 for it being a bit challenging and the fact that it actually helps us to give our brains a challenge. 1 star for the menu as it is super plain nothing else on it. Very good title as it actually tells you what the game is all about. A One Star App! Overall 1/5 for everything. Cool idea but very lacking - Carl Mercado BSIS221A,1
"This game really does deserve a one star, the gameplay easily gets boring after a few tries. The game gives no instructions on how to play the game making it confusing when you first played the game, bright gameplay background and you will easily get unfocused when the tiles gets faster because of it. This game achieved it's purpose to be rated one star",1
"The game is not interesting for me personally. Firstly, it does not have any story whatsoever and secondly there is no clear goal on progressing in the game. It really lacks information during the gameplay on what is the game’s overall direction.",1
"I will give this game a 1/5 rating because there are a lot of areas that need improvement, such as the UI design, gameplay, responsiveness, and other features. The game is quite boring, but I believe that it has potential if they make some changes. - Llorente, Rosell (BSIS221A)",1
"I enjoyed the game at first, yet as time goes by the game became boring and the graphics were very painful in the eyes. The Errors within the game and the constant recovery of the lives makes it seem endless and very dreading.",1
"To be honest, this game is not really challenging at all. Also it hurts my eyes while playing it for too long because the background is just plain white. I also don't think the words/captions are not appropriate for the players because In creating a game u must convince the players to play more.",1
"Game is interesting, but the gameplay can be straining to the eyes. The lack of a proper background music seems like a complete missed opportunity.",1
"Truly is the worst game ever in the play store. Props to TMM Labs for having this goal and actually achieved it. On a technical standpoint, the background and scrolling of the game itself is quite an eyesore and didn't really give the players a clear goal or how the game should be played but it was pretty straightforward. -Paul Andrei Datinguinoo|BSCS221B",1
"The game gets repetitive and boring really quickly.There are no other challenges or achievements to have.But it was a good experience and fun for a couple of min,it aslo enhance quick-thinking skills,which is the good part of the game.Just for the sake fo the rating,I'll say I hate this game,this game makes me mad and hurts my eyes why would anyone makes this game, is just the soul purpose is to make people angry.Plus some of the tiles don't work when clicked,so I'll give it a 1 star.",1
I had a very bad experience because why is there no ads popping up whenever you start the game and the tiles are moving so slow it should be moving way faster to the point that my eyes cannot follow it.,1
"One star because it was repetitive and didn't live up to expectations beyond being the worst game ever. The game need more features, or at the very least, more mods to keep it engaging for longer.",1
"This game that lacks visual creativity, it needs user interface and better lighting so that the players will somehow continue to play the game. Overall it's boring since this game have no elements that the players needed to feel.",2
This game is repetitive and boring. Made me almost fell asleep when I tried playing it for 30 minutes. This game has lack of challenges and unique storytelling which makes it boring.,1
"The game was originally designed to troll players, which is why it's called One Star App. However, despite this, I still find the game fun and interesting because it exercised my brain through the challenges presented by the game.",1
The gameplay is not good and lacks quality and user satisfaction. It has poor interface and boring designs. There's hardly a challenge to it.,1
"After playing it for less than 20minutes, I've come to a conclusion that playing this game is fun if you have friends to compete with but playing it solo is boring. There's not much gameplay and it hurts my eyes and brain.",3
"It is a good game. It can help us to improve our reflexes and reaction, but I think needs a little improvement in design because it is too plain. - Ronwell Carcer",1
Kurt Valderama - BSIS221A I rated it 2/5 since the gameplay is not that good. It does not have enough punishment for your lives throughout the game and it gets boring the longer you play it. It also lacks animations and visuals to make the game look more appealing.,2
Worst game ever created. First of all. The graphics are just too good. Second of all. No ads. Third. No tutorial. I wish I could rate the 0 stars but Google won't let me.,1
"The graphics were just too painful to the eyes as the game progresses. The game has no instructions and tutorial. This game was too easy to play. Even if it is a bad game, I still enjoyed it at first.",1
"The game isnt interesting at all, your goal is to make this a lowest rated app and i guess your winning in that category. Thats it, theres no point to play this game again but i want you to make/develop a game with a one star app: but as ""Highest Rated App."".",1
"The game is actually good for the memes, it can be better with a more fitting font and better designed UI, the game mechanics needs polishing, i mean it still okay to be a better game evem if it needs to be one star for the memes hehe, or u can look the other way and make it worse. Eithrt way it can always be better :3",1
"Angeles, Veronica Luisa - BSIS 221A for me i suggest to have a twist in each level because every players wants the game to be more exciting and thrilling and giving scores is not that high even you played it for a straight 20mins and I suggest to give an action to that, but overall its a good game for kids.",3
"the game wont give a sec to analys once you hit the start you start, it doest have instruction plus the sound is annoying, but the game is good for color blind individuals.",2
The game tries so hard to make it a one star app they just throw random bs just to make it bad. it's a big waste of time cuz there is alot of code errors they made. It is boring and no point in playinf this game. 5/5,5
"The game has no sense of gameplay and the visuals are plain and simple and the interface of the game is not really helping for users, the developers should show how the game works",1
"the name is right 1 star app, it's very boring to play and not enjoyable it lacks graphics and it hurts the eyes while it's getting faster and faster, I'll give it a rating of 2/10 it's a waste of effort when making the game if I only put 0",1
"The game is irritating and insulta me when I lose. Its a challenging game with a simple concept. It lacks appeal that many games have. LAMASAN, BSIS221A",1
"This app lives up to its name ""One Star App"". The Game is easy, you'll get bored after a few tries. There's no instructions on how the game works. The Graphics is bad. This app deserves one star rating.",1
"1 star for the creativity and it is like a sending a message game that wants 1 star, its a good workout for the brain but it becomes really boring really fast basic menu, basic gameplay, loud sounds this game deserves 1 star. Tagapan, Aaron BSIS-221A",1
"I'd say the game is pretty boring after awhile, not a lot of stuff that keeps you entertained. The gameplay loop stays the same and not very challenging",1
"This game really lived up to its name, “One Star App”. The game idea was good for me being someone who likes to play apps that is brain teasing but this game is a complete bore. Masyadong simple ang graphic design at masakit din sa mata at the same time, lalo na nang sinubukan kong tutukan ito ng maigi para makita ng ayos ang mga text. Very confusing din dahil walang instruction on how it should be played. A not recommended one for me. — Peria, BSCS221A",1
"To make an intro, its a very very bad game. However, that's the point of the devs based on the title of the game. So in short, this game is just a big waste of time and just don't play this game.",1
"Experience will be how it was advertised, the game is under-developed and requires multiple reconsiderations to improve gameplay and user interaction towards the app.",1
"This game lived up to its name, it really is a ""One Star App"" it's boring for me and really not enjoyable. It can still be improved in many ways but it is a long way to go for this game to be good.",1
"The game was repetitive and boring, as there were no changes in difficulty over time. Also, the graphics were underwhelming and hurt my eyes while playing, and I felt nauseous after the game. Moreover, there is no sense of achievement after playing it as there are no effects to set the ambiance (even the sound design is barely pleasant). The gameplay is pretty nice, and if only the game design became better, it could be quite an entertaining game.",1
Please do not play there are no adds and no in apps and because of that it's hot garbage but really I would rate it a -5 stars (ha JK it's actually pretty good would rate 4.5 stars but the app demands the rating so 1 star),1
"After playing the game for relatively 20 minutes, I would say that this is the most boring game I have ever played. The gameplay was super simple and not much variety to it, there are no instructions or tutorial on how the game is played, the colors and graphics are eye-straining, and there was no music to keep the players immersed and hooked. However, it definitely lives up to its name and purpose of being the ""Lowest Rated App""",1
It's a pretty boring game considering it's purpose; a time killing game. But improvements can be made.,1
"Too plain and boring to play needs more improvement like the background music like need to be more fun and hype to listen to, also the game itself is really boring",1
"The game is challenging but after you play a couple of minute it is started to hurt in the eyes. -Dayo, Erienel",1
I RAGE QUIT!!!😡😡😡 This game was absolutely HORIFFIC this only feature was a game that you could not SUCCEED it was the most horrible app I've ever gotten. DO NOT GET!!!,1
The game itself is boring and plain it really needs improvements both ui and the gameplay itself.,1
It does nothing I thought it worked like a game instead it just shows blocks moving and after that it's says play again 😡😡😡,1
"Really fun game, no adds, no tutorial,bad graphics I wish i could rate in - but i can't",1
"Would give this half a star if I could, to be honest. Ang maganda lang rito ay pinanindigan talaga nila ang ""lowest rated app"", so props to them for their dedication. Ang boring niya, slight nakakairita ang sound when you tap the right boxes/colors, the interface is an eye sore, and when the game's over, mapapa ""yun na yun?"" ka na lang. Tried this once, and will not try again. -Gonzales, BSCS221A",1
"The game itself isn't terrable, but extremely repetitive with what you do. Tap on the colour and the word that says the colour on it, but avoid the wrong word on the wrong colour. Simple, to the point, and repetitive with what you do, even without anything to attempt to spice it up a little bit. What you see is what you get, and I got a game that is the equivalent of putting a toothpick under your toenail and kicking a wall. Hell even thats more eventful than this terrable arcade game.",1
"This game is curious, but it is not for me because the colors are so vibrant that my eyes blur quickly. My mobile also slowed down even before I downloaded it. It challenged my thinking and the coordination of my eyes and fingers. Additionaly, it doesn't have a background design and graphic design to engage and persuave players like me. Lastly, it doesn't have a good picked sound effects for the game to engage and entertain players.",1
It gets so boring after some time. No wonder it is the eorst rated app inthe world.,1
"Great game was very entertaining please keep up the good work, add more updates and please release another game😃😃😃😃😃😃😃😃",5
I'd stick with the name; one star app. But it's actually a pretty boring game. But more of a meme game. A good one if you're just bored to dea*h.,1
Boring😒😒😒 and why are there no ads? I need them to entertain me!,1
The game is so boring. its easy to play but the thing is i cant enjoy it,1
"The app is so-so, the gameplay is not that good, and not that bad, it gets harder the longer you play it but it is also very forgiving.The moving boxes sometimes doesn't register the tap or it sometimes register 2 times which is a minor problem given that you can skip the tapping. Giving it a one star because it's what the devs want. Honest review : 1.5 stars, it doesn't stand out and it gets boring very fast(it's addicting tho). It needs a variety of customizations for it to reach 3-4 stars.",1
"As a whole, it's a bad game. However, that's the point the devs intended for the game to have. I was able to get to almost 10,000 points when I failed, but an arbitrary highest possible score always appears at the end regardless of how far you get. Overall, don't play this game, because it's a big waste of time. It's more like a troll game, if anything. Moral of the story? Just rate it 1 star and move on. ;)",1
This game was the worst game I have ever played. I never enjoyed it. It has no background music and lacks with quality and animation. It does not give an excitement feeling. It is repetitive and you can't even win. The game was being unmotivated to play especially with their use of words. It has no Main menu to customize or pause the game. I will rate this game a 1/5.,1
"It was a mess. My eyes hurt after playing the game because eye-straining colors with poor interface. It is not enjoyable to begin, it greatly lacks in background design and does not even have an effects. It did not even have an instruction or gameplay leaving me clueless on how the game works. Overall, it was a total eyesore. But I am sure that it will improve just a bit more motivation to plan.",1
"I tried out the ""One Star App"" and I believe it lives up to its name. Even though the game has many flaws like its uninspiring graphic, the game idea still have potential. Improving the graphics and user-friendliness of the game, introducing obstacles such as power-ups and dynamic changes, integrating music to increase tension, and providing incentives to keep players interested and motivated are some modifications that I believe will improve the player experience and make the game enjoyable.",1
"I really like how sarcastic this app is in a sense that the anger that I felt when I'm starting just turns into motivation in thinking what is the mechanics of this game. There's a lot of games out there that just have beautiful game designs but there is nothing out there that angers me so much and getting pumped out when I learn the gameplay. Kidding aside, the style and the gameplay of this game makes it unique in other games. The comedic feeling is there and the bragging rights is also there.",5
"I quickly judged the game based on its title, it seems boring and endless, yes, but what makes it still playable is the goal of gaining a high score without a time limit but deducting the points based on the box that has been avoided. which is clever, so it's good for me -Sebastian Alumaga BSIS221A",3
"One star, it was boring and you don't expect much from it, except being the worst game ever. Game needed more features, at least add more mods to keep it interestingly longer. It also needs to change that sound effect when you get a right answer, I felt like I was bar-code scanning items in a grocery store.",1
"It should have instructions on how to play at first. The gameplay is monotonous, the colors strain my eyes as it is too bright, and the silence is deafening. After the game, the commentary seemed more harsh than inspiring, which could make retries less appealing to others. Inconsistencies in gameplay, such as unpredictable awards and ignored taps, upset me. Despite its potential, the app's name is terribly appropriate: a true one-star experience.",1
"The game does not have clear instruction regarding the game itself, no visual feedback, and potential accessibility issues. In terms of gameplay, bottom to top movement of the blocks makes it hard to play the game. - LP, Kirby BSIS221A",1
"Bad main menu and bad gameplay. Sound disappears mid game after playing for a few rounds. Mistakes can exceed 3 times due to the game not being able to register other mistakes. The game starts in a fast-paced manner. -BSCS221B, Jorge Martin A. Berches",1
"I barely write reviews, but I had to on this one because it was absolutely AWFUL. There are no ads which is absolutely terrible I like my games all ad and no game. The gameplay is absolutely terrible, it's easy to get and very fun. The menu is easy to navigate which is uncalled for and extremely frustrating. If I could I would rate it 0 stars.",1
"Brian Mathew De jesus/BSCS221B The title matches the gameplay, deserved to be one star. The gameplay is pretty interesting, you should click on a tile that is matched with the color. The big downside, it gives you HEADACHE and motion sickness. The movement of the tiles with color gives you absolute big headache. Overall its fun to play yet dont waste your time downloading it.",1
"What I think about this game is that it really needs a lot of improvements especially in the style, gameplay and game design. There are no enjoyable moment within the game. It is so plain and the colors of the shape are eye straining. It could be improved with the design of how the shapes float and with the interactivity of the buttons, maybe a more pleasing style for the eye. It needs more challenges, difficulties, and maybe another level for the players to enioy. And also a pause button.",1
TERRIBLE ABSOLUTELY TERRIBLE DONT INSTALL. Let me tell you why you can't install this game. 1 the graphics are AMAZING. 2 where are the ads I can't live without my ads. 3 my screen WORKS. 4 my keyboard DIDNT show up at random times. 5 there is a goal to get to. 6 it's challenging THE WORST THING IN THE WORLD TO HAVE SOMETHING TO CHALLENGING. DEFINITELY DO NOT INSTALL.7 it doesn't install a virus. 8 it runs smoothly. That's all I have to say,1
"As soon as I installed this app, my phone broke in half and is now two separate pieces. The touchscreen and keyboard apparently still work, but the camera doesnt. Thats what Id call cellular division. It also has way too many ads. Very annoying. Oh and also it made my right foot a bit laggy. It's just too bad for existance. Now my shower is also laggy. For some reason, my middle finger is negatively laggy, which means it moves before I actually decide to move it. Some people got mad at me. AAAAA",1
"This is a bad game. Why would people give it anything besides 1 star? No ads, which is literally the best part of a game. It is just disrespectful to have no ads. Not to mention no tutorial. Like it is sooo confusing and so hard. We need a tutorial. The worst part is the sky isn't even realistic. It's just white... Like you could have added more detail. Also the button for self destruct doesn't even work. I was gonna rate it five but Satan came from the ground and said "" CHANGE UR RATING TO 1!""",1
"I can't believe how horrendoud this game is. First off, no adds. My voodoo doll needs to watch ads hourly or it'll flip out. Secondarily, the colours don't match. When I tap the blue box and th blue box, they ruin my life and remoe the ads on the bottoms of the Bildschirm. Finally, no German support.",1
"Worst app on the internet. No concept of game. No ads, which is the worst thing. I just want to watch ads!!! Stupid controls. I can't even shoot my gun! The multi-player button doesn't work. The trees and the maps are unrealistic. I would rate 0 stars if I could. Terrible game. Uninstalling.",1
"The game stated that I should give them a 1 star so here it is. At first, it was fun but as the game progress it gets harder especially for the eyes of the player that could possibly cause eye strains. The game has a potential on the areas of improvements like they should add different stages or pause for the players to rest for certain time.",1
The best game I ever played. It changed my life from a poor to beggar. I am really fond of this game. This make me realise of my true bhikari(beggar) self. HAI MAI TO DHANYA DHANYA HO GAI ISKO KHEL KAR.,5
"Terrible app. Wish I could rate 0 stars. I hate the fact I can't watch any ads, and the gameplay is difficult which I cannot stand. Also, the game has a unique and interesting idea, which is awful, I want to play a game like all the others. There isn't even any pay walls! And we're even missing the game being unbeatable unless you pay! Unacceptable, nothing likeable about this game. Uninstalling immediately!",1
"The only good thing I can say about this game is that the challenge was enjoyable, otherwise, it was painful. The interface does not help in giving cues on what it is about and uses eye straining colors. There are no instructions. Gameplay-wise it similar it is to rhythm-based games. Flow of incoming blocks vary in speed and difficulty becomes a headache to catch up to. Overall, despite its flaws, it was fun to play. Would recommend to other people to suffer like I did. (this is for school btw)",1
"The game suggested to give itself only a star so I rated it with only one star. The game gmhas potential, it is challenging yet fun. The downside was the design of the title page and ui. The simplicity of the design during the game was alright because it chellanges the player with the similarities of the tile shapes. Overall, it was a fun game to play.",1
"It's repetitive, the graphics hurt my eyes after playing it for more than 20 minutes, I liked the funny messages after you lose though. Adding levels or different types of game play (like the way the blocks come in, or any other way) would keep the game interesting.",1
"This is the absolute worst app i have ever tried. One, the amount of ads is DISAPPOINTING!! LIKE WHAT?? WHY DO YOU NOT HAVE ADS?? I WANT TO WATCH THE ADS WITH EVERY BUTTON I PRESS!! Two, The game doesn't crash like every other game does. Like what's up with that?? You can't make an unstable game for my 2022 phone?? Truly pathetic. Last but not least The game has NO NOTIFICATIONS FOR PREMIUM SUBSCRIPTIONS. DUDE, I WANT THOSE NOTIFICATIONS, I NEED THEM! I DO NOT RECCOMEND THIS GAME TO ANYONE!! 0/5",1
The bright colors of the background and tiles hurts the eyes. There were no instructions so I started my first run very clueless. Trying not to be bored and stay engaged was more challenging than the actual game itself.,1
"The game is thrilling but gives nausea later on as you keep chasing the blocks with your eyes and at the same time, thinking if you've got the right color. But all in all, this game has potential to improve in many areas. Keep annoying your players while giving fun!",1
"First, the developer should start reading the player reviews to figure out what needs to be improved. The game's performance is poor; the game causes slow loading and minor delays, particularly while tapping the tiles. Finally, the user interface is unattractive. There are no clear game instructions. - Aligam, Zyron Vince C., BSIS221A",2
You've achieved ur objective of the game but yea it's a very boring game.,1
"This app is extremely dangerous. I'm not recommend you guys to use this app. At first I thought those reviews are just a joke, but as soon as I open the app, my phone start freezing and just suddenly turn off. When my phone is turning on, the Samsung logo just freeze and the phone slowly overheating. Luckily, I have another phone so I can warn you guys DO NOT OPEN THIS APP. You have been warned!",1
This game was enjoyable even though i didnt know what to do first or how the game works. Its quite challenging but sometimes the colors are not being tapped and missed it. Add designs to the game and use other colors or change the background that would fit for the game.,1
When I looked at this game my phone crashed then when I actually downloaded I didn't get hit with an ad wich is AWFUL. Because how am I supposed to find out other games second. The game play is awful no pay wall when I get a certain and once again no adds to mess me up when I play so I can rage. Third the menu sucks I could perfectly get inside and navigate it through which is just so annoying I wanted to accidently reset my progress trying to find the menu. Do not download this game.,1
"This game is the worst game ever you cant even link it to your Facebook account for better things. This game is so pay to win this is the issue I cant play without having top level players come and ruin me. The controls are messed up I can't even jump without having to press it 5 times. And, fix the lag it's bad enough as it is but when my game crashes for no reason that really gets to me.",1
"THIS GAME SUCKS!!! This game is just terrible, it has no ads and like like my game to give me ads every 3 seconds. The game is super fun, which makes it so bad because I like my games to be super boring. This game is completely free and I have a HUGE problem with that. I like my games to cost $1000 and to hace constant pop-ups for in app purchase. I would rate is 0 stars if I could but I cant.",1
"The app deserves its one star rating because the app is not enjoyable and it does not have anything most user/players would be interested in and most importantly, the interface is not friendly. It would've been better if the developer added challenges and rewards or user customization for the players to put effort in playing the game.",1
"Not enough ads. This is driving me insane! Like, you want to make money from this, right? There's no popup ads or forced ads. All there is is some lousy ads at the bottom of the screen. Like get this, they still let you enjoy a full gaming experience while the ads are displayed. Ugh! One star! Terrible!",1
It was a fun game though it needs improvement. The game does not have an end unless you will tap the wrong rectangle to lose lives. Maybe you can add other features like scoreboard so that the player can have a sense of accomplishment when their names appear in it. This game is good for those who are looking for a game to cure their boredom but for me I do not think that I will play this daily. You can do better.,1
"The reason why the game is called one of the worst is because of the lack of instructions on how the game works. As I played it, I have no idea on what I am doing because the buttons also dont have interaction with the players in clicking it. As I got to play it in my third try, I was able to get the game and got 920 points. It is boring because as you progress, you do not level up and there's no certain effect with getting a high point in the game. The game itself makes no sense.😊",1
"The game is interesting because it challenges your eye-and-hand coordination skill, as well as your speed of thinking and analyzing the colored box. However, the repeated gameplay makes the players uninstall the game in just a day of playing it.",1
I am disappointed. The game does not have ads. Ads are the whole point of games. They are what stops you in the middle of a game. Ads are enjoyable to watch. Ads are awesome. Another bad thing about this horrible app is its gameplay. It was tremendously hard! I want to win a game instantly. WORST APP EVER! If I could give this trash 0 stars I definitely would.,1
"I would rate this 0 stars if I could! I has no ads! How can I enjoy something if it has no ads! It also has an enjoyable game, which sucks because I like it! I hate liking things! I also hate how it has one of the most creative goals. That doesn't irritate me, which irritates me, because I like being irritated, but not in this scenario! 1 star!!!",1
"* Download time: Terrible download. It took about 10-15 seconds...Insain! * ""Help"" Screen: Atrocious 😣 AND Absolutely ** No Help at ALL! In fact, it was so bad I couldn't locate it! 😞 * Game Playability: Painfully Alarming! It made me feel like a complete dunce! Once I got the 'hang of it' I got tired and quit. It said I was 120 points away from the top score of 1760. Who cares? 😄",1
